CHECK,census_subdivision_id,census_year,clab_id,fn_name_1,fn_name_2,pop_total_registered,pop_on_reserve_crown,pop_off_reserve_crown,notes,census_subdivision_name,census_subdivision_type_code,band_number,band_name
,5909827,2011,,Soowahlie,,371,176,195,,Soowahlie 14,IRI,572,Soowahlie
,5937802,2011,,Splatsin,Spallumcheen,878,392,486,,Enderby 2,IRI,600,Splatsin
,5909816,2011,,Spuzzum,,276,50,226,,Spuzzum 1,IRI,708,Spuzzum
,5915807,2011,,Squamish,,4119,2427,1692,,Mission 1,IRI,555,Squamish
,5909885,2011,,Squiala First Nation,,208,142,66,,Squiaala,IRI,574,Squiala First Nation
,5901803,2011,,?Aq'am,St. Mary's,380,218,162,,Kootenay 1,IRI,602,St. Mary's
,5951807,2011,,Stellat'en First Nation,,534,223,311,,Stellaquo (Stella) 1,IRI,613,Stellat'en First Nation
,5909839,2011,,Sts'ailes,Chehalis Indian Band,1080,568,512,,Chehalis 5,IRI,559,Sts'ailes
,5941806,2011,,Stswecem'c Xgat'tem First Nation,Canoe Creek Indian Band,726,312,414,,Dog Creek 1,IRI,723,Stswecem'c Xgat'tem First Nation
,5919804,2011,,Stz'uminus First Nation,Chemainus First Nation,1246,798,448,,Chemainus 13,IRI,641,Stz'uminus First Nation
,5909877,2011,,Sumas First Nation,,325,176,149,,Upper Sumas 6,IRI,578,Sumas First Nation
,5917819,2011,,T'sou-Ke First Nation,Sooke,257,134,123,,T'Sou-ke,IRI,657,T'Sou-ke First Nation
,5931821,2011,,T'it'q'et Administration,Lillooet Indian Band,417,202,215,,Lillooet 1,IRI,593,T'it'q'et
,5949843,2011,,Tahltan,,1867,325,1542,,Guhthe Tah 12,IRI,682,Tahltan
,5951848,2011,,Takla Lake First Nation,,765,430,335,,North Tacla Lake,IRI,608,Takla Lake First Nation
,5957802,2011,,Taku River Tlingit,Atlin First Nation,401,89,312,"AANDC First Nation Profiles includes this nation in Yukon, not BC.                                                         ",Unnamed 10,IRI,501,Taku River Tlingit
,5933880,2011,,Tk'emlúps te Secwépemc,Kamloops Indian Band,1274,652,622,,Kamloops 1,IRI,688,Tk'emlúps te Secwépemc
,5951810,2011,,Tl'azt'en Nation,,1741,582,1159,,Tache 1,IRI,617,Tl'azt'en Nation
,5941821,2011,,Tl'etinqox Government,Anaham Indian Band,1571,601,970,,Anahim's Flat 1,IRI,712,Tl'etinqox Government
,5923813,2011,,Tla-o-qui-aht First Nations,Clayoquot,1074,400,674,,Opitsat 1,IRI,660,Tla-o-qui-aht First Nations
,5943836,2011,,Tlatlasikwala,,66,47,19,,Hope Island 1,IRI,632,Tlatlasikwala
,5901801,2011,,Tobacco Plains Indian Band,,202,94,108,,Tobacco Plains 2,IRI,603,Tobacco Plains
,5941850,2011,,Toosey,Tl'esqox,333,164,169,,Toosey 1,IRI,718,Toosey
,5923810,2011,,Toquaht,,146,18,128,,Macoah 1,IRI,666,Toquaht
,5931829,2011,,Ts'kw'aylaxw First Nation,Pavilion,556,277,279,,Pavilion 1,IRI,594,Ts'kw'aylaxw First Nation
,5917804,2011,,Tsartlip,,983,640,343,,South Saanich 1,IRI,653,Tsartlip
,5917803,2011,,Tsawout First Nation,,872,600,272,,East Saanich 2,IRI,654,Tsawout First Nation
,5915802,2011,,Tsawwassen First Nation,,354,191,163,,Tsawwassen,IRI,577,Tsawwassen First Nation
,5923816,2011,,Tseshaht First Nation,,1145,460,685,,Tsahaheh 1,IRI,665,Tseshaht
,5917802,2011,,Tseycum First Nation,,184,125,59,,Union Bay 4,IRI,655,Tseycum
,5915806,2011,,Tsleil-Waututh Nation,Burrard Band,565,322,243,,Burrard Inlet 3,IRI,549,Tsleil-Waututh Nation
,5909830,2011,,Tzeachten,,503,265,238,,Tzeachten 13,IRI,575,Tzeachten
,5923805,2011,,Uchucklesaht,,212,32,180,,Elhlateese 2,IRI,667,Uchucklesaht
,5923807,2011,,Ucluelet First Nation,,647,216,431,,Ittatsoo 1,IRI,668,Ucluelet First Nation
,5941840,2011,,Ulkatcho,,1031,683,348,,Squinas 2,IRI,722,Ulkatcho
,5909808,2011,,Union Bar,,119,10,109,,Puckatholetchin 11,IRI,588,Union Bar
,5933802,2011,,Upper Nicola,,961,432,529,,Douglas Lake 3,IRI,697,Upper Nicola
,5907807,2011,,Upper Similkameen,,88,68,20,,Chuchuwayha 2,IRI,599,Upper Similkameen
,5955802,2011,,West Moberly First Nations,,281,120,161,,West Moberly Lake 168A,IRI,545,West Moberly First Nations
,5935802,2011,,Westbank First Nation,,832,449,383,,Tsinstikeptum  9,IRI,601,Westbank First Nation
,5951820,2011,,Wet'suwet'en First Nation,,242,96,146,,Palling 1,IRI,725,Wet'suwet'en First Nation
,5933877,2011,,Whispering Pines/Clinton,,153,59,94,,Whispering Pines 4,IRI,702,Whispering Pines/Clinton
,5941812,2011,,Williams Lake,,767,272,495,,Williams Lake 1,IRI,719,Williams Lake
,5931816,2011,,Xaxli'p,Fountain,1026,401,625,,Fountain  1,IRI,592,Xaxli'p
,5941829,2011,,Xeni Gwet'in First Nations Government,Nemaiah Band,431,256,175,,Chilco Lake 1A,IRI,714,Xeni Gwet'in First Nations Government
,5909831,2011,,Yakweakwioose,,67,35,32,,Yakweakwioose 12,IRI,576,Yakweakwioose
,5909818,2011,,Yale First Nation,,164,67,97,,Yale Town 1,IRI,589,Yale First Nation
,5951801,2011,,Yekooche First Nation,,230,106,124,,Ye Koo Che 3,IRI,728,Yekooche First Nation
,5941841,2011,,Yunesit'in Government,Stone Indian Band,446,256,190,,Stone 1,IRI,717,Yunesit'in Government
,5949035,2011,,Nisga'a Lisims Government,Villages of Gingolx (Kincolith); Gitwinksihlkw; Laxgalt'sap; New Aiyansh (Gitlaxt'aamix),6000,2255,3745,AANDC First Nation Profiles considers each Nisga'a village a separate First Nation.  Population for all villages is totalled.,Nisga'a,NL,671; 677; 678; 679,Nisga'a Lisims Government
,5957804,2011,,Dease River,,180,65,115,"AANDC First Nation Profiles includes this nation in Yukon, not BC.",Good Hope Lake,S-E,504,Dease River
,5957813,2011,,Lower Post First Nation,Daylu Dene Nation,1190,507,683,"AANDC First Nation Profiles includes this nation in Yukon, not BC. Population is for entire Liard First Nation.",Lower Post,S-E,502,Liard First Nation
,5955812,2011,,Tsay Keh Dene,,477,239,238,Location matched to CSD based on map on FN web site.,Ingenika Point,S-E,609,Tsay Keh Dene
,,,7095,Da'naxda'xw/Awaetlala First Nation,Tanakteuk Indian Band,219,56,163,"No matching CSD, matching ADMIN_INDIAN_RESERVES_BANDS_SP location used instead.",,,635,Da'naxda'xw First Nation
,,,7029,Kwiakah,,,,,"No matching CSD, matching ADMIN_INDIAN_RESERVES_BANDS_SP location used instead.",,,628,Kwiakah
,,,7030,Mamalilikulla-Qwe'qwa'sot'em,,414,64,350,"No matching CSD, matching ADMIN_INDIAN_RESERVES_BANDS_SP location used instead.",,,629,Mamalilikulla-Qwe'Qwa'Sot'Em
,,,7113,Tlowitsis Nation,,407,74,333,"No matching CSD, matching ADMIN_INDIAN_RESERVES_BANDS_SP location used instead.",,,637,Tlowitsis Tribe
