census_subdivision_id,broadband_coverage,dsl_cable_coverage,fixed_wireless_coverage,mobility_coverage,satellite_coverage
5933070,0.014000,0.000000,0.014000,0.023000,0.068000
5933072,0.043000,0.000000,0.043000,0.065000,0.255000
5933074,0.818000,0.000000,0.818000,0.914000,0.998000
5933801,0.001000,0.001000,0.000000,1.000000,1.000000
5933802,0.496000,0.000000,0.496000,0.536000,0.684000
5933803,0.000000,0.000000,0.000000,0.932000,1.000000
5933805,0.997000,0.997000,0.000000,1.000000,1.000000
5933806,0.189000,0.000000,0.189000,0.965000,0.965000
5933807,0.304000,0.304000,0.000000,0.664000,0.695000
5933808,0.000000,0.000000,0.000000,0.000000,1.000000
5933809,0.000000,0.000000,0.000000,0.976000,1.000000
5933810,0.000000,0.000000,0.000000,0.000000,1.000000
5933811,0.000000,0.000000,0.000000,1.000000,1.000000
5933812,0.000000,0.000000,0.000000,0.844000,0.844000
5933813,0.000000,0.000000,0.000000,0.936000,1.000000
5933814,0.000000,0.000000,0.000000,0.000000,1.000000
5933817,0.345000,0.080000,0.345000,0.915000,1.000000
5933819,0.000000,0.000000,0.000000,0.000000,0.540000
5933821,0.000000,0.000000,0.000000,0.015000,0.400000
5933823,0.290000,0.290000,0.000000,1.000000,1.000000
5933824,0.000000,0.000000,0.000000,0.996000,1.000000
5933825,0.000000,0.000000,0.000000,0.996000,1.000000
5933828,0.000000,0.000000,0.000000,0.535000,1.000000
5933829,0.544000,0.544000,0.000000,0.999000,1.000000
5933830,0.000000,0.000000,0.000000,0.000000,1.000000
5933831,0.023000,0.023000,0.000000,0.365000,1.000000
5933832,0.555000,0.555000,0.000000,0.999000,1.000000
5933833,0.065000,0.065000,0.000000,0.949000,1.000000
5933834,0.000000,0.000000,0.000000,0.005000,1.000000
5933836,0.000000,0.000000,0.000000,0.903000,0.903000
5933837,0.000000,0.000000,0.000000,0.365000,0.990000
5933838,0.319000,0.319000,0.014000,0.998000,1.000000
5933839,0.000000,0.000000,0.000000,0.000000,1.000000
5933840,0.000000,0.000000,0.000000,0.001000,0.911000
5933841,0.000000,0.000000,0.000000,0.597000,1.000000
5933842,0.000000,0.000000,0.000000,0.633000,0.672000
5933844,0.991000,0.991000,0.000000,1.000000,1.000000
5933845,0.905000,0.905000,0.000000,0.924000,0.924000
5933846,0.000000,0.000000,0.000000,0.787000,1.000000
5933848,0.000000,0.000000,0.000000,0.000000,1.000000
5933849,0.000000,0.000000,0.000000,0.687000,1.000000
5933850,0.145000,0.145000,0.000000,0.997000,1.000000
5933851,0.000000,0.000000,0.000000,0.000000,1.000000
5933852,0.555000,0.555000,0.000000,0.999000,1.000000
5933853,0.533000,0.533000,0.000000,0.973000,1.000000
5933854,0.000000,0.000000,0.000000,0.600000,1.000000
5933855,0.555000,0.555000,0.000000,0.999000,1.000000
5933857,0.000000,0.000000,0.000000,0.063000,0.873000
5933858,0.360000,0.360000,0.000000,0.000000,1.000000
5933859,0.000000,0.000000,0.000000,0.000000,0.651000
5933861,0.000000,0.000000,0.000000,0.000000,1.000000
5933865,0.000000,0.000000,0.000000,0.991000,1.000000
5933866,0.000000,0.000000,0.000000,0.996000,1.000000
5933868,0.000000,0.000000,0.000000,0.533000,1.000000
5933870,0.000000,0.000000,0.000000,0.597000,1.000000
5933872,0.000000,0.000000,0.000000,0.000000,1.000000
5933873,0.000000,0.000000,0.000000,0.692000,0.775000
5933874,0.000000,0.000000,0.000000,0.000000,1.000000
5933875,0.000000,0.000000,0.000000,0.667000,0.667000
5933876,0.000000,0.000000,0.000000,0.926000,1.000000
5933877,0.000000,0.000000,0.000000,0.740000,1.000000
5933878,0.000000,0.000000,0.000000,0.190000,1.000000
5933879,0.000000,0.000000,0.000000,0.899000,1.000000
5933880,0.707000,0.625000,0.622000,0.978000,1.000000
5933881,0.000000,0.000000,0.000000,0.002000,1.000000
5933882,0.000000,0.000000,0.000000,0.200000,1.000000
5933884,0.757000,0.757000,0.017000,0.937000,1.000000
5933886,0.916000,0.000000,0.916000,0.998000,1.000000
5933887,0.686000,0.000000,0.686000,0.986000,1.000000
5933888,1.000000,0.000000,1.000000,0.937000,1.000000
5933889,0.000000,0.000000,0.000000,0.019000,1.000000
5933895,0.000000,0.000000,0.000000,0.000000,1.000000
5933896,0.000000,0.000000,0.000000,0.200000,1.000000
5933897,0.000000,0.000000,0.000000,0.956000,1.000000
5935010,0.968000,0.965000,0.955000,0.968000,0.968000
5935012,0.152000,0.143000,0.107000,0.214000,0.405000
5935016,0.916000,0.673000,0.821000,0.996000,0.996000
5935018,0.966000,0.966000,0.123000,0.995000,0.995000
5935020,0.163000,0.117000,0.098000,0.353000,0.393000
5935029,0.860000,0.852000,0.803000,0.860000,0.860000
5935801,1.000000,1.000000,0.990000,1.000000,1.000000
5935802,1.000000,1.000000,1.000000,1.000000,1.000000
5935803,1.000000,1.000000,1.000000,1.000000,1.000000
5937005,0.815000,0.815000,0.815000,0.815000,0.815000
5937010,0.864000,0.838000,0.388000,0.864000,0.864000
5937014,0.999000,0.980000,0.258000,1.000000,1.000000
5937017,0.298000,0.279000,0.094000,0.465000,0.504000
