CSD_UID,OFFNAME,OFF_CSDTYPE,POP,PRIV_DWELL,OCC_DWELL,LAND_AREA,REPPOINT_LATITUDE,REPPOINT_LONGITUDE,MET_NMET_CODE
5933840,Lytton  4E,IRI,5,3,3,1.2543,50.426267,-121.709765,999
5933841,Lytton  9A,IRI,5,5,2,1.5157,50.309485,-121.649423,999
5933842,Lytton  9B,IRI,0,1,1,0.7336,50.272162,-121.627331,999
5933844,Ashcroft 4,IRI,76,31,28,1.4001,50.718379,-121.315535,999
5933845,105 Mile Post 2,IRI,21,5,5,13.6198,50.733812,-121.316262,999
5933846,Oregon Jack Creek 5,IRI,5,2,1,4.3537,50.599472,-121.315704,999
5933848,Nickel Palm 4,IRI,10,6,4,0.6588,50.445683,-121.703244,999
5933849,Siska Flat,IRI,106,38,37,0.6317,50.135871,-121.570058,999
5933850,Nickeyeah 25,IRI,16,6,6,0.9432,50.207924,-121.584601,999
5933851,Nicomen 1,IRI,64,21,18,0.6759,50.262339,-121.4044,999
5933852,Nohomeen 23,IRI,5,2,2,0.1734,50.248343,-121.597871,999
5933853,Nuuautin 2,IRI,128,40,38,1.9241,50.258172,-121.596023,998
5933854,Paska Island 3,IRI,0,0,0,0.5497,50.61576,-121.317217,999
5933855,Papyum 27,IRI,29,9,9,0.4719,50.236976,-121.590349,999
5933857,Pemynoos 9,IRI,0,0,0,18.9495,50.482592,-121.262657,999
5933858,Seah 5,IRI,20,5,5,1.5965,50.499661,-121.735237,999
5933859,Shackan 11,IRI,55,28,27,25.5234,50.29016,-121.177052,999
5933861,Kloklowuck 7,IRI,5,3,3,0.8132,50.361425,-121.240009,999
5933865,Skuppah 4,IRI,5,4,4,0.1288,50.172827,-121.580101,999
5933866,Skwayaynope 26,IRI,5,2,1,0.9798,50.19276,-121.591328,999
5933868,Spintlum Flat 3,IRI,5,2,2,1.775,50.337932,-121.647592,999
5933870,Nkaih 10,IRI,0,0,0,1.1603,50.327427,-121.657177,999
5933872,Marble Canyon 3,IRI,68,30,24,2.842,50.817694,-121.665724,999
5933873,Stryen 9,IRI,75,22,20,2.5254,50.288837,-121.637121,999
5933874,Tsaukan 12,IRI,0,1,1,0.6678,50.37332,-121.679061,999
5933875,Upper Hat Creek 1,IRI,29,13,12,9.0129,50.813924,-121.572978,999
5933876,Upper Nepa 6,IRI,10,8,6,2.8977,50.662723,-121.26123,999
5933877,Whispering Pines 4,IRI,60,20,19,5.0449,50.982761,-120.243992,925
5933878,Yawaucht 11,IRI,10,2,2,1.157,50.3479,-121.669605,999
5933879,Zacht 5,IRI,25,5,5,0.2315,50.154772,-121.575125,999
5933880,Kamloops 1,IRI,2577,1262,1136,136.8523,50.755102,-120.276528,925
5933881,Spences Bridge,IRI,0,1,1,0.2089,50.414757,-121.360246,999
5933882,Kanaka Bar,IRI,15,7,7,1.2744,50.114791,-121.561738,999
5933884,Sahhaltkum 4,IRI,320,117,103,13.4284,50.82162,-119.723931,925
5933886,Nekalliston 2,IRI,0,1,0,0.0859,51.424613,-120.194621,999
5933887,North Thompson 1,IRI,252,107,95,12.8865,51.289873,-120.15527,998
5933888,Louis Creek 4,IRI,15,8,8,0.0177,51.136997,-120.127526,999
5933889,Squaam 2,IRI,10,32,4,0.4564,51.079181,-119.783808,999
5933895,Shawniken 4B,IRI,15,10,8,0.0356,50.416647,-121.355821,999
5933896,Nekliptum  1,IRI,53,12,12,0.1383,50.110033,-121.552626,999
