census_year,census_subdivision_id,reference_point_longitude,reference_point_latitude,reference_point_elevation,elevation_mean,elevation_max,elevation_min
2011,5931842,-121.878306,50.739564,407,414.4810579,494,367
2011,5931843,-122.667803,50.330993,393,356.2660109,1199,200
2011,5931844,-122.477698,50.547175,279,294.1712936,422,256
2011,5933006,-120.775244,50.108792,603,669.9496841,1077,586
2011,5933008,-120.342083,50.197568,876,1255.319988,2034,528
2011,5933012,-120.921208,49.954167,823,1253.525119,2265,459
2011,5933015,-121.575096,50.225104,291,335.1180065,786,142
2011,5933019,-121.340663,50.693973,468,582.8117055,1259,278
2011,5933024,-121.321371,50.800085,449,553.1965843,849,421
2011,5933028,-121.579205,51.09291,880,951.3079114,1115,847
2011,5933032,-121.646753,51.23917,1133,1236.634994,2425,256
2011,5933035,-121.020967,50.498356,1288,1399.248613,1907,254
2011,5933037,-121.456662,50.4772,1075,1337.623391,2963,126
2011,5933039,-120.743725,50.819339,893,1183.678375,1961,333
2011,5933042,-120.344113,50.687418,352,608.9277982,1140,334
2011,5933044,-120.079566,50.884096,1450,1062.888392,2142,292
2011,5933045,-119.891694,50.883441,1253,1609.012541,2153,1145
2011,5933054,-119.690899,50.821764,358,380.478316,652,344
2011,5933060,-119.902245,50.559153,982,1059.017964,1746,339
2011,5933067,-120.02289,51.648755,451,505.3670285,917,401
2011,5933068,-120.181418,51.957445,757,1449.51106,2925,380
2011,5933070,-119.232452,52.147646,1166,1542.758241,3242,442
2011,5933072,-119.945715,51.318513,1269,1215.072327,2634,367
2011,5933074,-120.126896,51.180223,382,407.2634369,602,368
2011,5933801,-120.859414,50.032391,717,768.3961679,1047,651
2011,5933802,-120.28018,50.182017,1047,1021.366537,1304,748
2011,5933803,-121.519313,50.148064,879,891.3307633,1270,650
2011,5933805,-120.759782,50.090532,653,658.5920231,702,630
2011,5933806,-120.481403,50.206719,631,733.1161819,904,625
2011,5933807,-120.828335,50.19379,1044,820.4879848,1287,579
2011,5933808,-121.057894,50.190338,555,516.1938107,736,448
2011,5933809,-120.954593,49.983122,785,781.0262205,824,723
2011,5933810,-121.343507,50.447243,596,593.3229167,612,558
2011,5933811,-120.66554,50.180864,732,734.1856465,827,651
2011,5933812,-121.376936,50.837376,496,608.5713274,1047,469
2011,5933813,-121.62604,50.292721,366,351.590738,795,148
2011,5933814,-122.152339,51.47001,766,778.6005338,921,731
2011,5933817,-120.969141,50.829459,829,729.0715962,1337,328
2011,5933819,-121.995441,51.107066,481,446.8194827,1067,276
2011,5933821,-122.025363,51.43408,927,1031.687027,1256,864
2011,5933823,-121.570975,50.200967,314,307.9897436,373,265
2011,5933824,-121.578506,50.194706,204,200.9491525,246,142
2011,5933825,-121.57364,50.188813,288,242.6648452,307,141
2011,5933828,-121.325189,50.628143,367,405.4775338,543,286
2011,5933829,-121.577164,50.228189,262,270.2268519,324,222
2011,5933830,-121.400524,50.322875,305,293.091207,460,201
2011,5933831,-121.572382,50.262019,488,483.2893375,604,343
2011,5933832,-121.576598,50.236657,224,248,368,144
2011,5933833,-121.596898,50.270967,293,317.8958884,639,148
2011,5933834,-121.317398,50.422831,238,236.3568465,248,224
2011,5933836,-121.489562,50.887315,768,721.1061782,1091,547
2011,5933837,-121.375771,50.605387,767,778.7151633,853,645
2011,5933838,-119.743759,50.767463,356,468.9310607,836,345
2011,5933839,-121.719379,50.441637,471,429.7370859,684,169
2011,5933840,-121.709765,50.426267,429,399.3922156,632,208
2011,5933841,-121.649423,50.309485,272,265.9434585,363,148
2011,5933842,-121.627331,50.272162,275,264.5581988,291,179
2011,5933844,-121.315535,50.718379,463,465.4376397,524,384
2011,5933845,-121.316262,50.733812,497,560.9163989,991,279
2011,5933846,-121.315704,50.599472,454,435.575914,639,254
2011,5933848,-121.703244,50.445683,316,265.8081671,416,169
2011,5933849,-121.570058,50.135871,211,219.9169139,352,136
2011,5933850,-121.584601,50.207924,228,226.612326,298,142
2011,5933851,-121.4044,50.262339,269,282.7757183,440,187
2011,5933852,-121.597871,50.248343,168,178.3636364,255,146
2011,5933853,-121.596023,50.258172,248,300.2216445,472,146
2011,5933854,-121.317217,50.61576,315,303.0907104,376,265
2011,5933855,-121.590349,50.236976,229,234.9455511,299,146
2011,5933857,-121.262657,50.482592,772,553.9506238,905,236
2011,5933858,-121.735237,50.499661,259,280.2408931,615,170
2011,5933859,-121.177052,50.29016,439,676.3629535,1237,358
2011,5933861,-121.240009,50.361425,313,379.6840943,558,298
2011,5933865,-121.580101,50.172827,212,236.4607843,329,140
2011,5933866,-121.591328,50.19276,265,260.8891001,419,138
2011,5933868,-121.647592,50.337932,319,270.3956353,569,151
2011,5933870,-121.657177,50.327427,231,260.7494624,449,150
2011,5933872,-121.665724,50.817694,845,888.9782418,1223,826
2011,5933873,-121.637121,50.288837,205,216.2192982,297,148
2011,5933874,-121.679061,50.37332,287,265.9399625,417,156
2011,5933875,-121.572978,50.813924,781,847.4228076,1073,739
2011,5933876,-121.26123,50.662723,663,635.0051624,763,491
2011,5933877,-120.243992,50.982761,356,387.032085,784,352
2011,5933878,-121.669605,50.3479,220,295.9902808,608,154
2011,5933879,-121.575125,50.154772,308,297.93531,456,180
2011,5933880,-120.276528,50.755102,1095,727.9991665,1258,337
2011,5933881,-121.360246,50.414757,226,251.5940299,399,211
2011,5933882,-121.561738,50.114791,251,259.6242038,429,131
2011,5933884,-119.723931,50.82162,485,579.3085121,897,342
2011,5933886,-120.194621,51.424613,444,432.5357143,448,383
2011,5933887,-120.15527,51.289873,384,400.5751731,583,376
2011,5933888,-120.127526,51.136997,376,374.8214286,377,370
2011,5933889,-119.783808,51.079181,434,438.8027211,533,408
2011,5933895,-121.355821,50.416647,232,230.1355932,236,219
2011,5933896,-121.552626,50.110033,417,410.0222222,438,387
2011,5933897,-121.544941,50.055927,148,185.64,246,129
2011,5935010,-119.440415,49.882519,369,452.6683084,861,339
2011,5935012,-119.200715,49.912911,1461,1329.36204,2171,341
2011,5935016,-119.406091,50.07349,482,584.0412443,1364,342
