CENSUS_SUBDIVISION_ID,ELEVATION_POINT,ELEVATION_MEAN,ELEVATION_MAX,ELEVATION_MIN
5933810,596.0,593.322916667,612.0,558.0
5933811,732.0,734.185646501,827.0,651.0
5933812,496.0,608.571327434,1047.0,469.0
5933813,366.0,351.590737952,795.0,148.0
5933814,766.0,778.600533808,921.0,731.0
5933817,829.0,729.071596189,1337.0,328.0
5933819,481.0,446.819482731,1067.0,276.0
5933821,927.0,1031.68702653,1256.0,864.0
5933823,314.0,307.98974359,373.0,265.0
5933824,204.0,200.949152542,246.0,142.0
5933825,288.0,242.664845173,307.0,141.0
5933828,367.0,405.477533808,543.0,286.0
5933829,262.0,270.226851852,324.0,222.0
5933830,305.0,293.091206991,460.0,201.0
5933831,488.0,483.289337474,604.0,343.0
5933832,224.0,248.0,368.0,144.0
5933833,293.0,317.895888399,639.0,148.0
5933834,238.0,236.356846473,248.0,224.0
5933836,768.0,721.106178182,1091.0,547.0
5933837,767.0,778.715163272,853.0,645.0
5933838,356.0,468.931060678,836.0,345.0
5933839,471.0,429.737085857,684.0,169.0
5933840,429.0,399.392215569,632.0,208.0
5933841,272.0,265.943458522,363.0,148.0
5933842,275.0,264.558198811,291.0,179.0
5933844,463.0,465.437639696,524.0,384.0
5933845,497.0,560.916398861,991.0,279.0
5933846,454.0,435.575913978,639.0,254.0
5933848,316.0,265.808167142,416.0,169.0
5933849,211.0,219.916913947,352.0,136.0
5933850,228.0,226.612326044,298.0,142.0
5933851,269.0,282.775718258,440.0,187.0
5933852,168.0,178.363636364,255.0,146.0
5933853,248.0,300.221644459,472.0,146.0
5933854,315.0,303.090710383,376.0,265.0
5933855,229.0,234.945551129,299.0,146.0
5933857,772.0,553.950623786,905.0,236.0
5933858,259.0,280.240893067,615.0,170.0
5933859,439.0,676.362953511,1237.0,358.0
5933861,313.0,379.684094256,558.0,298.0
5933865,212.0,236.460784314,329.0,140.0
5933866,265.0,260.889100127,419.0,138.0
5933868,319.0,270.39563534,569.0,151.0
5933870,231.0,260.749462366,449.0,150.0
5933872,845.0,888.978241758,1223.0,826.0
5933873,205.0,216.219298246,297.0,148.0
5933874,287.0,265.939962477,417.0,156.0
5933875,781.0,847.422807626,1073.0,739.0
5933876,663.0,635.005162401,763.0,491.0
5933877,356.0,387.03208502,784.0,352.0
5933878,220.0,295.990280778,608.0,154.0
5933879,308.0,297.935309973,456.0,180.0
5933880,1095.0,727.999166544,1258.0,337.0
5933881,226.0,251.594029851,399.0,211.0
5933882,251.0,259.624203822,429.0,131.0
5933884,485.0,579.308512124,897.0,342.0
5933886,444.0,432.535714286,448.0,383.0
5933887,384.0,400.575173144,583.0,376.0
5933888,376.0,374.821428571,377.0,370.0
5933889,434.0,438.802721088,533.0,408.0
5933895,232.0,230.13559322,236.0,219.0
5933896,417.0,410.022222222,438.0,387.0
5933897,148.0,185.64,246.0,129.0
5935010,369.0,452.668308412,861.0,339.0
5935012,1461.0,1329.36204035,2171.0,341.0
5935016,482.0,584.041244336,1364.0,342.0
5935018,344.0,483.236703064,798.0,337.0
5935020,1439.0,1184.30584669,1908.0,341.0
5935029,528.0,649.232779199,1435.0,339.0
5935801,434.0,435.131228722,486.0,424.0
5935802,406.0,414.273096722,512.0,340.0
5935803,403.0,397.424860184,473.0,342.0
5937005,537.0,556.44364743,792.0,493.0
5937010,497.0,592.538448254,1248.0,390.0
5937014,447.0,504.945000323,930.0,342.0
5937017,971.0,1068.13577628,2040.0,342.0
5937021,1684.0,1204.89943332,1889.0,411.0
5937022,1027.0,1220.08856021,2166.0,390.0
5937023,684.0,1457.36350617,2870.0,456.0
5937024,397.0,589.04682284,1572.0,343.0
5937028,369.0,374.574132112,401.0,338.0
5937033,364.0,392.241172161,547.0,349.0
5937041,555.0,1163.03075898,2675.0,347.0
5937801,361.0,506.812472278,913.0,342.0
5937802,408.0,459.958338816,710.0,350.0
5937803,350.0,353.835951134,357.0,342.0
5937805,395.0,400.806134969,422.0,382.0
5939007,793.0,816.997251608,974.0,780.0
5939011,1003.0,1813.78620372,3658.0,352.0
5939019,459.0,533.683158538,1080.0,437.0
5939023,2163.0,1543.94445933,3306.0,425.0
5939032,357.0,615.776023298,1571.0,340.0
5939037,1046.0,716.546225612,1750.0,346.0
5939039,1588.0,1055.87377974,1805.0,350.0
5939043,378.0,1269.30204757,2822.0,345.0
5939044,475.0,1229.83244756,2673.0,303.0
5939045,361.0,380.117800545,723.0,346.0
5939801,454.0,427.792333709,577.0,347.0
5939802,906.0,729.707475549,1210.0,405.0
5939803,352.0,389.54188705,528.0,347.0
5939804,547.0,512.641381185,841.0,423.0
5939805,363.0,389.565122058,756.0,344.0
5939806,645.0,611.116892677,1185.0,413.0
5939807,363.0,394.313078918,757.0,345.0
5939808,364.0,416.144214261,523.0,344.0
5939811,364.0,377.242588997,504.0,342.0
5941005,935.0,1018.60571316,1251.0,902.0
5941009,598.0,685.045459249,948.0,500.0
5941010,977.0,899.094506444,1398.0,396.0
5941012,893.0,967.566445495,1664.0,328.0
5941013,503.0,544.245458035,777.0,466.0
5941014,834.0,1207.97962681,2926.0,569.0
5941015,858.0,1062.68901001,1653.0,746.0
5941016,986.0,1157.2304332,2337.0,628.0
5941017,1137.0,1168.56343568,1743.0,919.0
5941019,1126.0,824.274304104,1495.0,431.0
5941021,789.0,777.343680481,1339.0,470.0
5941025,1552.0,1372.3298648,1786.0,1082.0
5941026,1220.0,1266.01652627,2895.0,481.0
5941027,846.0,1089.96261202,1860.0,427.0
5941039,1226.0,1450.95749345,3859.0,336.0
5941041,1027.0,1270.25237993,3057.0,326.0
5941801,701.0,746.229297821,959.0,656.0
5941802,791.0,849.217342708,1206.0,766.0
5941803,818.0,816.153488372,832.0,808.0
5941804,1041.0,942.784841994,1284.0,326.0
5941805,775.0,758.537670824,947.0,673.0
5941806,722.0,740.453669725,838.0,682.0
5941807,835.0,885.172934473,1059.0,789.0
5941808,1268.0,1243.65373202,1335.0,1214.0
5941809,592.0,593.086089715,655.0,467.0
5941810,653.0,605.030500077,828.0,413.0
5941811,963.0,911.495931652,969.0,833.0
5941812,615.0,667.038643178,893.0,568.0
5941813,852.0,860.868217054,896.0,836.0
