census_year,noc_2011_code,noc_2011_description,b.c._median,b.c._low_10thpctl,b.c._high_90thpctl,b.c._source,vancouver_island_coast_median,vic_low_10thpctl,vic_high_90thpctl,vic_year,vic_source,northeast_median,ne_low_10thpctl,ne_high_90thpctl,ne_year,ne_source,north_coast_nechako_median,ncn_low_10thpctl,ncn_high_90thpctl,ncn_year,ncn_source,thompson-okanagan_median,tok_low_10thpctl,tok_high_90thpctl,tok_year,tok_source,cariboo_median,car_low_10thpctl,car_high_90thpctl,car_year,car_source,mainland_southwest_median,msw_low_10thpctl,msw_high_90thpctl,msw_year,msw_source,kootenays_median,kot_low_10thpctl,kot_high_90thpctl,kot_year,kot_source
2011,621,Retail and wholesale trade managers,24.04,13,41.21,LFS 2011-12 PR NOC4,24.2,11.35,45.67,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,24.04,13,41.21,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,26,14,44.87,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,24.04,13,41.21,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,24.04,13,40.38,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,631,Restaurant and food service managers,17.29,10.25,33.65,LFS 2011-12 PR NOC4,17.29,10.25,33.65,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,17.29,10.25,33.65,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,17.29,10.25,33.65,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,17.29,10.25,33.65,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,16.98,10.25,33.65,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,15,12,21,Reference Period:л_2011-2012,Source: Employment Insurance Data
2011,632,Accommodation service managers,20,10.25,48.95,LFS 2011-12 PR NOC4,20,10.25,48.95,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,16.67,13,27.47,Reference Period:л_2011-2012,Source: Employment Insurance Data,,,,Data limitations - refer to provincial wage,,20,13.74,30.91,Reference Period:л_2011-2012,Source: Employment Insurance Data,17,13.25,22.75,Reference Period:л_2011-2012,Source: Employment Insurance Data
2011,431,Commissioned police officers,35.56,10.25,55.82,Census 2006 PR NOC4,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,41.84,28.27,58,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,432,Fire chiefs and senior firefighting officers,37.98,23.1,52.6,Census 2006 PR NOC4,34.19,25.04,52.44,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,43.12,35,57.89,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,433,Commissioned officers of the Canadian Forces,29.16,18.25,41.24,Census 2006 PR NOC4,28.99,20.38,41.02,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,24.09,11.36,32.96,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,,31.61,17.55,43.07,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,651,"Managers in customer and personal services, n.e.c.",,,,NA,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,
2011,711,Construction managers,38.46,20.19,60,LFS 2011-12 PR NOC4,34,19.77,49.21,Reference Period:л_2011-2012,Source: Employment Insurance Data,38.46,20.19,60,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,38.46,20.19,60,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,42,20.19,62.5,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,30,19,48.56,Reference Period:л_2011-2012,Source: Employment Insurance Data
2011,712,Home building and renovation managers,17.5,13,26,EI 2011-12 PR NOC4,17.5,13,26,Reference Period:л_2011-2012,Source: Employment Insurance Data,,,,Data limitations - refer to provincial wage,,,,,Data limitations - refer to provincial wage,,18,14,25,Reference Period:л_2011-2012,Source: Employment Insurance Data,,,,Data limitations - refer to provincial wage,,18,13,26,Reference Period:л_2011-2012,Source: Employment Insurance Data,17.5,13,26,Reference Period:л_2011-2012,Source: Employment Insurance Data
2011,731,Managers in transportation,36.61,21,54.95,LFS 2011-12 PR NOC4,36.61,21,54.95,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,36.61,21,54.95,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,36.61,21,54.95,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,36.61,21,54.95,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,38.46,18,54.17,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,36.61,21,54.95,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada
2011,714,Facility operation and maintenance managers,32,14.5,55.77,LFS 2011-12 PR NOC4,32,14.5,55.77,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,32,14.5,55.77,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,32,14.5,55.77,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,31,14.5,48.08,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,32,14.5,55.77,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada
2011,811,Managers in natural resources production and fishing,42.74,19.78,72.12,LFS 2011-12 PR NOC4,42.74,19.78,72.12,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,42.74,19.78,72.12,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,42.74,19.78,72.12,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,42.74,19.78,72.12,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,42.74,19.78,72.12,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,42.74,19.78,72.12,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,911,Manufacturing managers,36.06,20,57.69,LFS 2011-12 PR NOC4,36.06,20,57.69,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,,34.14,10.25,60.56,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,36.06,20,57.69,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,37.53,10.25,56.82,Reference Period:л_2006,Source: 2006 Census - Statistics Canada,37,19.23,52.88,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,
2011,912,Utilities managers,40.02,24.76,63.19,LFS 2011-12 PR NOC4,40.02,24.76,63.19,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,,,,Data limitations - refer to provincial wage,0,,,,Data limitations - refer to provincial wage,0,40.02,24.76,63.19,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,40.02,24.76,63.19,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,40.02,24.76,63.19,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,40.02,24.76,63.19,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada
2011,1111,Financial auditors and accountants,28.57,17,48.08,LFS 2011-12 PR NOC4,25.96,17,43.96,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,28.57,17,48.08,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,28.57,17,48.08,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,27.18,14,34.62,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,28.57,17,48.08,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,28.85,17,50.48,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada,28.57,17,48.08,Reference Period:л_2011-2012,Source: Labour Force Survey - Statistics Canada
